University of California Santa Cruz,,,,,,,,,,,,,,,
Grade Distribution Fall 2011,,,,,,,,,,,,,,,

This provides the number of undergraduate students in a given class who received each grade.  Classes displayed are undergraduate classes with 10 or more students enrolled; classes in which all or all but one students who completed the class received the same grade have been omitted.  Definitions of grades can be found at http://registrar.ucsc.edu/grading/chart.html.,,,,,,,,,,,,,,,
Created 3/27/2012,,,,,,,,,,,,,,,
Instructor,Subject-Catalog Number,Course Title,A+,A,A-,B+,B,B-,C+,C,D,F,P,NP,W
"Deutsch,Nathaniel P",HIS- 178A,Europ Intellec Hist,0,6,10,6,7,5,1,2,1,2,3,0,1
"Diaz,Maria E",HIS- 11A,L.Amer ColonlPeriod,0,12,12,20,10,14,3,4,4,5,5,0,1
"Dinishak,Janette",PHIL- 80S,Nature Of Science,2,9,9,13,18,29,17,15,10,1,21,0,2
"Dong,Chongying",MATH- 111A,Algebra,9,3,3,5,5,9,5,5,0,6,0,1,0
"Du Puis,E Melanie",SOCS- 194A,UCDC InternResearch,0,9,7,3,1,0,0,0,0,0,4,0,0
"Dunbar,William B",CMPE- 8,Robot Automation,11,17,16,10,11,9,13,12,7,11,3,0,3
"Dunkle,Iris",CRWN- 80A,UD:Ethical Issues,4,8,16,10,6,4,1,0,1,0,0,0,0
"Dunn,Carolyn Marie",LTEL- 103J,Contemp Amer Lit,0,4,14,14,1,0,0,1,0,1,3,0,0
"Eastman,Mark Richard",MATH- 11A,Calculus with Apps,1,9,37,47,37,35,44,84,54,30,2,0,2
"Eaton,Kent H",POLI- 144,Andean Politics,1,3,12,3,8,6,3,4,2,5,1,0,1
"Edwards,Christopher A",OCEA- 1,The Oceans,14,20,20,27,28,15,10,5,4,12,25,5,5
"Elbaum,Bernard L",ECON- 126,Why Succeed/Fail,0,8,6,20,23,19,15,17,0,0,1,1,4
"Elsea,Peter Q",MUSC- 125,Adv Elec Sound Synt,0,18,0,0,2,0,0,0,0,0,0,0,0
,MUSC- 167,Wksp Electron Music,0,13,0,0,2,0,0,0,0,0,0,0,0
"Elsey,Angela A",FREN- 1,Instr French Lang,0,3,3,6,4,6,0,4,1,1,4,0,3
,FREN- 6,Intermediate French,0,0,1,1,4,5,2,1,0,0,6,0,0
"Engel,Braden",HAVC- 43,Modern Architecture,0,16,17,8,35,15,10,22,11,3,18,1,3
,HAVC- 143A,Contemporary Arch,0,6,3,5,6,3,3,2,0,0,2,1,0
"Engineer,Urmi Fanish",STEV- 80A,UD:Self & Society,0,2,7,12,11,11,2,3,0,0,0,0,0
"Erickson,Shelley K",CRWN- 80A,UD:Ethical Issues,0,3,9,6,4,2,1,0,0,0,0,0,0
,CRWN- 80B,RI:Ethical Issues,0,12,8,2,1,0,0,0,0,0,2,0,0
"Errington,Shelly E",ANTH- 154,Multimedia Ethnography,0,15,6,1,3,0,0,0,0,0,0,0,1
,ANTH- 194V,Picturing Culture,0,2,3,0,1,3,0,1,3,0,0,0,1
"Evangelatou,Maria",HAVC- 51,Ancient Greek Art,5,14,18,19,8,5,0,1,1,0,8,0,2
"Fairlie,Robert W",ECON- 128,Povrty/Publc Policy,0,9,10,10,14,7,6,5,2,0,7,0,0
"Falcon,Sylvanna M.",LALS- 150,"Afro-Lat Soc, Cul, Pol",0,2,3,4,4,3,2,8,3,0,2,0,0
,LALS- 165,Contmp Peru,2,2,7,3,6,1,2,5,1,2,3,0,1
"Farkas,Donka F",LING- 53,Semantics I,3,19,9,8,21,5,1,2,0,2,1,0,1
"Farquhar,Dion N",CRWN- 80A,UD:Ethical Issues,1,6,18,14,7,0,0,0,0,0,2,0,0
"Fatemi,Farnaz",KRSG- 65C,Pwr & Rep: Writ,1,9,4,0,0,0,0,0,0,0,0,0,0
,KRSG- 80A,UD:Power&Represnt,0,10,8,11,7,1,2,2,0,0,1,0,0
"Faunce,B K",WRIT- 2,Rhetoric & Inquiry,0,2,5,0,9,11,13,0,0,0,7,0,2
"Fazzino,James Michael",LTCR- 10,Intro Creative Writ,0,12,2,2,2,0,0,0,0,0,0,0,0
"Feld,Ari",CLNI- 80A,UD:Intl/Global Issues,0,2,2,3,12,1,0,0,1,0,1,0,0
"Feldheim,David A",BIOL- 110,Cell Biology,6,21,13,20,46,23,22,45,10,8,0,0,5
"Felton,Lori Gabrielle",PRTR- 80B,RI:WritingAcrossArts,2,11,13,6,8,4,0,0,1,1,0,0,0
"Ferguson,F Joel",CMPE- 12,Com Sys/Assmbly Lan,19,20,20,18,16,13,14,9,6,9,0,2,2
"Fernando,Mayanthi L",ANTH- 130T,ReligPoliticsMuslimWrld,0,4,5,5,13,6,5,2,2,0,4,0,1
,ANTH- 194R,Religion/Gender/Sex,1,4,3,4,4,2,0,0,0,0,0,0,0
"Flanagan,Veronica Annette",KRSG- 80A,UD:Power&Represnt,0,4,6,10,5,9,3,1,0,1,0,0,0
"Flannery,Mary",ECON- 161A,Marketing,1,29,12,1,39,0,5,14,0,1,1,0,0
,ECON- 164,Telecommunica Indus,0,11,4,6,4,1,0,1,0,0,0,0,0
"Flegal,A Russell",METX- 101,Source of Pollutnts,0,8,3,0,3,2,2,2,0,0,0,0,0
"Foley,Mary K",PRTR- 83,Pac Rim Film Fest,2,5,4,4,3,0,0,1,0,0,3,1,0
,THEA- 22,Indonesian Dance,8,11,1,4,0,0,0,0,0,0,0,0,1
,THEA- 161D,Asian Theater,0,2,7,1,3,0,1,0,0,0,2,0,0
"Forrest,Christopher Wayne",PHYE- 9B,BegDinghySailing,0,0,0,0,0,0,0,0,0,0,25,3,1
"Fortney,Jonathan J",ASTR- 112,Physics of Stars,0,3,4,1,5,5,1,5,1,1,0,0,0
"Foster,Maureen J.",CRWN- 80A,UD:Ethical Issues,5,6,10,5,3,0,0,3,3,0,1,0,0
,MERR- 80A,UD: Cultural IDs,2,7,6,2,0,0,0,0,0,0,0,0,0
"Fox Tree,Jean E",PSYC- 125,Psych of Language,0,14,16,11,25,17,12,18,8,5,4,1,2
,PSYC- 194B,Adv Cognitive Res,1,6,2,0,2,0,0,0,0,0,0,0,0
"Fox,Laurel R",BIOE- 183L,Undergrad Res: EEB,0,7,0,2,0,0,0,0,0,1,0,0,0
"Frangos,Maria",COWL- 80A,UD: Imagining Justice,0,0,20,18,7,1,0,0,0,0,0,0,0
"Franko,Mark",THEA- 128,Choreographic Wkshp,0,7,1,3,0,0,0,0,0,0,0,0,0
,THEA- 185,Senior Seminar,0,14,24,13,2,1,1,2,0,0,0,0,0
"Fregoso,Rosa-Linda",LALS- 172,VisualizingHumanRights,0,5,2,4,2,1,0,0,0,0,1,0,0
"Friedlander,Benjamin",EE- 103,Signals & Systems,2,12,0,4,16,0,0,8,2,5,0,0,0
"Friedman,Daniel",ECON- 166A,Game Theory /Apps I,0,13,7,7,7,3,3,3,4,1,0,0,2
"Friedman,Susan",ART- 130,Interm Photography,0,7,2,4,4,6,0,1,0,0,0,0,1
"Frisk,Jerome Edwin",STEV- 80B,RI:Self & Society,2,7,14,18,7,0,0,0,0,0,0,0,0
"Fritsch,Gregory J",THEA- 20,Intr Studies Acting,1,36,10,9,12,2,1,0,0,0,1,0,0
"Fujita,Sakae",JAPN- 1,Japanese Language,9,4,4,1,4,1,1,0,0,1,1,2,0
,JAPN- 4,Intermed Japanese,1,7,4,11,6,7,3,2,0,3,3,1,0
"Fukurai,Hiroshi",LGST- 128I,Race and Justice,10,8,8,8,13,3,1,0,1,0,0,0,0
,SOCY- 128I,Race and Justice,15,10,5,9,12,2,4,1,0,0,2,0,0
"Funatogawa,Chie",CHEM- 1M,Gen Chem Lab,0,45,14,10,32,9,3,11,5,0,1,0,5
"Fung,Kwok-Chiu",ECON- 1,Intro Microeconomic,4,56,41,48,56,46,37,92,35,14,22,1,5
,ECON- 149,East&Southeast Asia,35,48,45,29,38,21,11,15,3,0,3,0,0
"Gallagher,Patricia M",THEA- 21B,Act 1B Physicality,0,10,4,1,1,0,0,0,0,0,0,0,0
,THEA- 126,Acting Studio III,5,6,7,2,0,0,0,0,0,0,1,0,0
"Galuszka,Frank R",ART- 24B,Intr Paint: Acrylic,2,8,1,5,4,1,0,0,0,0,0,0,0
,ART- 103,Interm/Adv Painting,2,13,2,3,2,0,0,0,0,0,0,0,0
"Gamel,Mary-Kay",LIT- 61M,Classical Myth,4,10,19,22,43,36,47,53,20,16,19,4,1
"Gan,Elaine M",FILM- 170A,Digital Media Prod,2,6,3,5,1,2,1,1,0,0,1,0,0
"Garrick-Bethell,Ian",EART- 160,Planetary Science,2,1,2,5,1,0,0,2,0,1,0,1,1
"Genova,Thomas Francis",SPAN- 3,Instr Spanish Lang,0,10,9,3,0,0,0,0,1,0,0,0,0
"Georgiou,George",ECON- 100A,Intermed Microecon,5,12,8,8,9,8,12,13,4,3,0,0,2
"Gerster,Carole J",MERR- 80B,RI:Cultural IDs&Glob,0,5,4,13,15,5,2,1,0,0,2,0,0
"Gibbs,Raymond W",PSYC- 135,Feelings & Emotions,2,23,40,29,40,12,12,12,0,5,0,0,2
"Giges,Robert Eli",PRTR- 80B,RI:WritingAcrossArts,0,0,5,8,6,0,1,0,1,0,0,0,0
,PRTR- 180,Pedagogical Practic,2,13,0,0,0,0,0,0,0,0,0,0,0
"Ginzburg,Viktor",MATH- 23B,Multivariable Calc,7,12,14,11,9,6,14,20,10,10,0,0,2
"Gjerde,Per F",PSYC- 60,IntroPersonalityPsych,7,50,0,2,41,0,1,14,0,1,1,1,1
"Glass,Ronald",EDUC- 173,Critical Pedagogy,0,8,23,10,6,0,1,0,0,0,0,0,0
"Gliessman,Stephen R",ENVS- 91F,Community /Agroecolgy,0,14,1,1,2,0,0,0,0,0,3,0,0
,ENVS- 130A,Agroeco & Sust Ag,1,20,17,18,18,11,4,2,0,0,2,0,0
"Godzich,Wlad B",LIT- 1,Literary Interpret,2,10,24,16,19,18,12,8,7,10,6,4,5
"Gomoll,Lucian Francis Joseph",HISC- 107,Freak Shows,1,7,5,3,1,0,1,0,0,0,1,0,1
